alignment,d_trackssamefile,d_tracksdifffile,d_samedatatype,d_differentdatatype,d_singlevar,s_alllinechart,s_allbarchart,s_otherencoding
overlayed,1,-1,1,-1,-1,1,1,-1
stacked,1,1,1,1,1,1,1,1
